date,all_per_month,hungary,poland,france,netherlands,greece,czech,slovakia,belgium,germany,yugoslavia,italy,norway,other_camps
1942-02-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1942-03-15,3112,0,0,1112,0,0,0,2000,0,0,0,0,0,0
1942-04-15,8003,0,0,0,0,0,0,8004,0,0,0,0,0,0
1942-05-15,7716,0,6130,0,0,0,0,0,0,586,0,0,0,1000
1942-06-15,21496,0,16000,4037,0,0,0,1059,0,0,0,0,0,400
1942-07-15,19465,0,0,7930,5978,0,0,4810,0,510,0,0,0,237
1942-08-15,41960,0,13000,13123,6265,0,0,0,5990,0,3500,0,0,82
1942-09-15,26591,0,0,12134,6675,0,0,1992,5790,0,0,0,0,0
1942-10-15,22841,0,0,0,11965,0,1866,860,4841,756,1500,0,0,1050
1942-11-15,28000,0,18000,3745,5199,0,0,0,0,1001,0,0,0,55
1942-12-15,18025,0,14000,0,2496,0,0,0,0,997,0,0,532,0
1943-01-15,57605,0,44246,0,3594,0,6000,0,1555,2210,0,0,0,0
1943-02-15,21039,0,8682,2998,4283,0,1001,0,0,4075,0,0,0,0
1943-03-15,26360,0,7000,1000,0,10002,0,0,0,8200,0,0,158,0
1943-04-15,28034,0,0,0,0,24921,0,0,1400,1688,0,0,0,25
1943-05-15,16325,0,1000,0,0,10930,0,0,0,295,4000,0,0,0
1943-06-15,9479,0,6145,1018,0,880,0,0,0,360,0,0,0,1076
1943-07-15,7194,0,0,2000,0,0,0,0,1553,0,0,0,0,3641
1943-08-15,50105,0,45926,0,2005,1800,0,0,0,374,0,0,0,0
1943-09-15,23330,0,12800,1000,2971,0,5007,0,1425,127,0,0,0,0
1943-10-15,8688,0,1386,2000,1007,0,1313,0,0,148,0,1031,0,1803
1943-11-15,13620,0,8501,1200,2144,0,0,0,0,69,0,415,0,1291
1943-12-15,8577,0,800,1850,0,0,5007,0,0,79,0,215,0,626
1944-01-15,6434,0,2000,1155,949,0,0,0,657,83,0,584,0,1006
1944-02-15,4774,0,104,2714,1015,0,0,0,0,50,0,485,0,406
1944-03-15,4557,0,679,2501,1331,0,0,0,0,32,0,0,0,14
1944-04-15,8666,1800,564,2504,240,1500,0,0,625,61,0,606,0,766
1944-05-15,228674,215436,27,2200,453,0,7503,0,507,560,0,575,0,1413
1944-06-15,169345,164425,761,1100,496,2000,0,0,0,46,0,517,0,0
1944-07-15,72419,55741,9811,1300,0,0,0,0,563,485,0,1805,0,2714
1944-08-15,17218,131,4509,493,0,2500,0,0,0,56,0,250,0,9279
1944-09-15,75416,0,68393,0,1019,0,3999,0,0,68,0,0,0,1937
1944-10-15,18101,152,0,0,0,0,14403,0,0,31,0,102,0,3413
1944-11-15,7936,0,0,0,0,0,0,7936,0,0,0,0,0,0
1944-12-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1945-01-15,14,0,0,0,0,0,0,0,0,14,0,0,0,0
