date,all_per_month,hungary,poland,france,netherlands,greece,czech,slovakia,belgium,germany,yugoslavia,italy,norway,other_camps
2/15/1942,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/15/1942,3112,0,0,1112,0,0,0,2000,0,0,0,0,0,0
4/15/1942,8003,0,0,0,0,0,0,8004,0,0,0,0,0,0
5/15/1942,7716,0,6130,0,0,0,0,0,0,586,0,0,0,1000
6/15/1942,21496,0,16000,4037,0,0,0,1059,0,0,0,0,0,400
7/15/1942,19465,0,0,7930,5978,0,0,4810,0,510,0,0,0,237
8/15/1942,41960,0,13000,13123,6265,0,0,0,5990,0,3500,0,0,82
9/15/1942,26591,0,0,12134,6675,0,0,1992,5790,0,0,0,0,0
10/15/1942,22841,0,0,0,11965,0,1866,860,4841,756,1500,0,0,1050
11/15/1942,28000,0,18000,3745,5199,0,0,0,0,1001,0,0,0,55
12/15/1942,18025,0,14000,0,2496,0,0,0,0,997,0,0,532,0
1/15/1943,57605,0,44246,0,3594,0,6000,0,1555,2210,0,0,0,0
2/15/1943,21039,0,8682,2998,4283,0,1001,0,0,4075,0,0,0,0
3/15/1943,26360,0,7000,1000,0,10002,0,0,0,8200,0,0,158,0
4/15/1943,28034,0,0,0,0,24921,0,0,1400,1688,0,0,0,25
5/15/1943,16325,0,1000,0,0,10930,0,0,0,295,4000,0,0,0
6/15/1943,9479,0,6145,1018,0,880,0,0,0,360,0,0,0,1076
7/15/1943,7194,0,0,2000,0,0,0,0,1553,0,0,0,0,3641
8/15/1943,50105,0,45926,0,2005,1800,0,0,0,374,0,0,0,0
9/15/1943,23330,0,12800,1000,2971,0,5007,0,1425,127,0,0,0,0
10/15/1943,8688,0,1386,2000,1007,0,1313,0,0,148,0,1031,0,1803
11/15/1943,13620,0,8501,1200,2144,0,0,0,0,69,0,415,0,1291
12/15/1943,8577,0,800,1850,0,0,5007,0,0,79,0,215,0,626
1/15/1944,6434,0,2000,1155,949,0,0,0,657,83,0,584,0,1006
2/15/1944,4774,0,104,2714,1015,0,0,0,0,50,0,485,0,406
3/15/1944,4557,0,679,2501,1331,0,0,0,0,32,0,0,0,14
4/15/1944,8666,1800,564,2504,240,1500,0,0,625,61,0,606,0,766
